Method,Class,n_positive,n_negative,TP,TN,FP,FN,Accuracy,Accuracy_95CI_low,Accuracy_95CI_high,Sensitivity,Sensitivity_95CI_low,Sensitivity_95CI_high,Specificity,Specificity_95CI_low,Specificity_95CI_high,Balanced_accuracy,Balanced_accuracy_95CI_low,Balanced_accuracy_95CI_high,Accuracy_display,Sensitivity_display,Specificity_display,Balanced_accuracy_display
CNN,effusion,11,93,4,90,3,7,0.9038461538461539,0.8319911824573768,0.9469300313187198,0.36363636363636365,0.1516647109536757,0.6461988254921511,0.967741935483871,0.9094061748887851,0.988969387184108,0.6656891495601174,0.49530209933435737,0.8355654827186412,90.38% (83.20-94.69),36.36% (15.17-64.62),96.77% (90.94-98.90),66.57% (49.53-83.56)
CNN,normal,35,69,34,55,14,1,0.8557692307692307,0.7755885748449445,0.9106039230054261,0.9714285714285714,0.8546691276638632,0.9949385081445556,0.7971014492753623,0.6877595975522071,0.875106669320965,0.8842650103519669,0.823495358692362,0.9332166964462973,85.58% (77.56-91.06),97.14% (85.47-99.49),79.71% (68.78-87.51),88.43% (82.35-93.32)
CNN,perforation,20,84,17,65,19,3,0.7884615384615384,0.7004245425871797,0.855947752967175,0.85,0.639581135259243,0.9476312541037833,0.7738095238095238,0.6735309285283279,0.850139791625549,0.8119047619047619,0.7212910353535353,0.8795170994053734,78.85% (70.04-85.59),85.00% (63.96-94.76),77.38% (67.35-85.01),81.19% (72.13-87.95)
CNN,retraction,20,84,0,84,0,20,0.8076923076923077,0.7215452338276328,0.8719185480970123,0.0,0.0,0.1611251580528194,1.0,0.95626827158534,0.9999999999999999,0.5,0.5,0.5,80.77% (72.15-87.19),0.00% (0.00-16.11),100.00% (95.63-100.00),50.00% (50.00-50.00)
CNN,tube,10,94,7,93,1,3,0.9615384615384616,0.9052524862309443,0.9849431866560232,0.7,0.39677814746114537,0.8922087325936989,0.9893617021276596,0.9421770870372144,0.998119604251912,0.8446808510638297,0.68203125,0.9734274193548383,96.15% (90.53-98.49),70.00% (39.68-89.22),98.94% (94.22-99.81),84.47% (68.20-97.34)
CNN,tympanosclerosis,8,96,4,95,1,4,0.9519230769230769,0.8923579720276744,0.9792919576741477,0.5,0.2152160622138775,0.7847839377861225,0.9895833333333334,0.9433338237728423,0.9981588297831837,0.7447916666666667,0.5675488945578231,0.928486842105263,95.19% (89.24-97.93),50.00% (21.52-78.48),98.96% (94.33-99.82),74.48% (56.75-92.85)
Tympanometry,effusion,11,93,6,83,10,5,0.8557692307692307,0.7755885748449445,0.9106039230054261,0.5454545454545454,0.280091537409322,0.7872872837754024,0.8924731182795699,0.8132724499022683,0.9405369297680901,0.7189638318670577,0.5772528585902447,0.8819479355769677,85.58% (77.56-91.06),54.55% (28.01-78.73),89.25% (81.33-94.05),71.90% (57.73-88.19)
Tympanometry,normal,35,69,30,48,21,5,0.75,0.658885726367606,0.8233035964461681,0.8571428571428571,0.7062444591340484,0.9373976892056628,0.6956521739130435,0.5791642983213836,0.7915037310829005,0.7763975155279503,0.6989830727940484,0.8357478183581124,75.00% (65.89-82.33),85.71% (70.62-93.74),69.57% (57.92-79.15),77.64% (69.90-83.57)
Tympanometry,perforation,20,84,14,78,6,6,0.8846153846153846,0.8090795037039419,0.9327502237018642,0.7,0.48102718164647645,0.8545227551323957,0.9285714285714286,0.8528043284375555,0.9668541900641647,0.8142857142857143,0.7055016442313603,0.9291193181818181,88.46% (80.91-93.28),70.00% (48.10-85.45),92.86% (85.28-96.69),81.43% (70.55-92.91)
Tympanometry,retraction,20,84,7,74,10,13,0.7788461538461539,0.6899559717776981,0.8478705805915115,0.35,0.18119182410108203,0.5671457233147638,0.8809523809523809,0.7945508422552969,0.9340345075240097,0.6154761904761905,0.4996987951807229,0.72671827625379,77.88% (69.00-84.79),35.00% (18.12-56.71),88.10% (79.46-93.40),61.55% (49.97-72.67)
Tympanometry,tube,10,94,0,94,0,10,0.9038461538461539,0.8319911824573768,0.9469300313187198,0.0,0.0,0.27753279986288926,1.0,0.9607379237084551,0.9999999999999999,0.5,0.5,0.5,90.38% (83.20-94.69),0.00% (0.00-27.75),100.00% (96.07-100.00),50.00% (50.00-50.00)
Tympanometry,tympanosclerosis,8,96,0,96,0,8,0.9230769230769231,0.8555044538374417,0.9605082463089452,0.0,0.0,0.32440756488388034,1.0,0.9615244121423242,0.9999999999999999,0.5,0.5,0.5,92.31% (85.55-96.05),0.00% (0.00-32.44),100.00% (96.15-100.00),50.00% (50.00-50.00)
Hybrid,effusion,11,93,8,87,6,3,0.9134615384615384,0.8436629055250897,0.9538040514361519,0.7272727272727273,0.4343546988238708,0.9025394070997511,0.9354838709677419,0.8663200583761685,0.9700985683813523,0.8313782991202345,0.7217247596153847,0.9737002549606474,91.35% (84.37-95.38),72.73% (43.44-90.25),93.55% (86.63-97.01),83.14% (72.17-97.37)
Hybrid,normal,35,69,33,51,18,2,0.8076923076923077,0.7215452338276328,0.8719185480970123,0.9428571428571428,0.8139294257983507,0.9841868381428913,0.7391304347826086,0.6248942554937957,0.8281444471114403,0.8409937888198757,0.7726084986700922,0.8827241847826086,80.77% (72.15-87.19),94.29% (81.39-98.42),73.91% (62.49-82.81),84.10% (77.26-88.27)
Hybrid,perforation,20,84,18,80,4,2,0.9423076923076923,0.8798107321520116,0.9732934543646655,0.9,0.6989663547715127,0.9721335187862318,0.9523809523809523,0.8838668496724167,0.9813282531905099,0.9261904761904762,0.8217840305320662,0.9916175691778101,94.23% (87.98-97.33),90.00% (69.90-97.21),95.24% (88.39-98.13),92.62% (82.18-99.16)
Hybrid,retraction,20,84,12,75,9,8,0.8365384615384616,0.7537363724335732,0.8953646390465074,0.6,0.3865815007622531,0.781193467627183,0.8928571428571429,0.8087538548365549,0.9425997871233551,0.7464285714285714,0.6411415553356424,0.8601822409520425,83.65% (75.37-89.54),60.00% (38.66-78.12),89.29% (80.88-94.26),74.64% (64.11-86.02)
Hybrid,tube,10,94,8,93,1,2,0.9711538461538461,0.9185995989748896,0.9901418170972229,0.8,0.49016247153664183,0.9433178485456247,0.9893617021276596,0.9421770870372144,0.998119604251912,0.8946808510638298,0.7645355507537172,0.995,97.12% (91.86-99.01),80.00% (49.02-94.33),98.94% (94.22-99.81),89.47% (76.45-99.50)
Hybrid,tympanosclerosis,8,96,6,94,2,2,0.9615384615384616,0.9052524862309443,0.9849431866560232,0.75,0.40927543031016883,0.9285207872478909,0.9791666666666666,0.9271928648221578,0.9942680301475696,0.8645833333333333,0.6992904974489795,0.9898500309214594,96.15% (90.53-98.49),75.00% (40.93-92.85),97.92% (92.72-99.43),86.46% (69.93-98.99)
